"","cntrl_rna_10.bam","cntrl_rna_11.bam","cntrl_rna_12.bam","cntrl_rna_13.bam","cntrl_rna_14.bam","cntrl_rna_15.bam","cntrl_rna_16.bam","cntrl_rna_17.bam","cntrl_rna_18.bam","cntrl_rna_1.bam","cntrl_rna_2.bam","cntrl_rna_3.bam","cntrl_rna_4.bam","cntrl_rna_5.bam","cntrl_rna_6.bam","cntrl_rna_7.bam","cntrl_rna_8.bam","cntrl_rna_9.bam","scz_rna_10.bam","scz_rna_11.bam","scz_rna_12.bam","scz_rna_13.bam","scz_rna_14.bam","scz_rna_15.bam","scz_rna_16.bam","scz_rna_17.bam","scz_rna_18.bam","scz_rna_19.bam","scz_rna_1.bam","scz_rna_2.bam","scz_rna_3.bam","scz_rna_4.bam","scz_rna_5.bam","scz_rna_6.bam","scz_rna_7.bam","scz_rna_8.bam","scz_rna_9.bam"
"ENSG00000148832",1.07206383926993,0.0676477535115708,0.575777435690703,0.20956014551412,0.209722862961039,0.15942382863557,0.601019293468533,0.853904527082112,1.10481657362303,-0.553817027752174,-0.323495503873297,0.340621698633171,-0.484108687462047,-0.161683225046622,-0.160456769487491,0.480708284597069,0.44243460272265,0.782241364237942,1.04631466610822,0.269192426868954,0.898651549505492,0.703204011125501,0.357458938891868,1.10903985158161,0.0401680423959681,0.183566381764635,0.668219970719011,0.687544450469031,-0.0627968535413725,0.703225716474815,0.575694812591419,0.0298460184506899,0.0411974777511336,0.488814936531915,1.1745950683872,0.552268221042252,1.15806575473835
"ENSG00000254536",-0.0741368901173398,-0.857909226368316,-0.148684783214711,-0.218374137870434,1.11731610419276,0.906844567311647,-0.857831321369004,-0.306084873594696,-1.5418778861448,1.11410182926918,0.752932667069994,1.11697022701543,0.475367007174615,1.27657002892081,-0.832255836899543,-1.70440856437537,-0.393651946948194,-0.617898960486285,-0.276153268160122,-0.200107851667117,0.513616155511718,0.0206837751049524,-0.914758665403237,-0.0228115849297425,-0.565539738458578,0.267314253221612,-1.13958470902412,0.928493352836154,0.916301561763817,1.51375036711704,1.4174125724752,1.06978776925434,0.975591836758309,0.313328639861561,-0.100549493069549,-0.702568559774858,-0.0309009178389928
"ENSG00000148824",2.00838643664019,0.890968736036144,1.84100604750458,1.42750573627405,3.02561725648765,2.81635356293145,1.72336186152172,1.8062181282816,1.28279702699737,2.16307528261105,2.36775950089325,3.2099234431239,2.13858414443236,2.95619371379626,2.13494422167575,1.36662682930265,1.9067661993021,1.50032585371542,1.37653686661314,1.43885015731566,2.07436063893681,1.3892584336014,1.15029047707574,1.10903985158161,1.94428937391066,2.00736517446333,1.42346346170636,2.90023635910257,2.74126689833006,3.34437517921152,3.21113994568888,3.02349243097532,2.84813958249171,2.2320651313085,1.32885327851851,1.63190561136552,1.7681011454211
"ENSG00000214279",3.02169279875946,2.13675826990432,1.70296970583069,2.095167235015,4.08085743112693,3.8289647146517,2.07683470914426,2.19301692500607,1.55650254273566,3.44844949065053,2.45104246514354,4.18128821408158,3.73470967889845,4.07343733607833,1.08139203993004,2.2781310352071,1.83421382406451,1.0345480972047,0.871181529693957,2.11851053731921,2.56163996777993,1.77481444845607,0.626602220015702,1.30038396691212,1.66575532282151,2.33303215076777,2.08336988751465,4.26996668846211,3.30686088512021,4.15160015973758,2.73386916795787,3.40712581874597,4.03043706931706,3.61019673631705,1.90101286722704,0.973308638491263,2.85652090151135
"ENSG00000130649",-0.99508970285315,-0.857909226368316,-1.39956605551711,-0.962225565900188,0.109087299909309,0.203263897241182,-2.59266856788323,-0.450040959320855,-1.13165158492129,0.28123485811365,-0.0446395409221005,-0.271123277011409,0.363310632706445,0.675944097501734,-1.15001714131398,-0.544804939227397,-1.1865101375495,-1.03716642783035,-1.27705344959674,-0.690824239796349,-0.273755388750757,-2.23827060165671,-1.25903832246841,-0.455265231144613,-1.00162518277031,-0.839774534946201,-0.684848650485103,-0.286089357116967,0.4301241512688,0.55658695786542,-0.00554612284859172,0.922301929968305,0.276503047266654,-0.320864152529464,-1.8869985943283,-1.3165310198523,0.751457576338418
"ENSG00000213543",-0.667118152034743,-2.04935408284577,-1.39956605551711,-1.66476145533625,-3.08891772329661,-0.913115401874688,-1.47882826220502,-0.055205768427946,1.02698449579975,-3.08891772329661,-0.835032727013419,-1.07977901587685,-2.35511713465106,-1.473249970252,-1.55813662212583,0.0240238906392956,-1.04292949537242,-0.0287188576777321,-0.498695680736164,-1.28509039694286,-1.57399187853748,-1.15852717838028,-1.25903832246841,-1.23972872132674,-1.62962782203979,-1.98117748541838,0.000689497081569216,-0.569718069261633,-0.672417766707017,-1.1087035988834,-2.13696355976763,-2.28664319631931,-1.30764152482913,-1.47951606518095,-0.795734286642148,-2.407201664431,0.751457576338418
"ENSG00000233435",-0.667118152034743,0.0676477535115708,-1.16999850729246,-0.707928520262657,0.0739192735483416,-0.0306121579124959,-1.13517168094914,-0.306084873594696,0.443640116356082,1.13374092570804,0.351914694374601,0.401636660097707,-0.199611941406139,0.860779550331313,-1.15001714131398,0.379365125366927,-0.792621684521651,-0.222567707168896,0.440405857911247,0.165392514186454,-0.273755388750757,-0.547933840756956,-0.203795598015364,-0.455265231144613,-0.565539738458578,-1.13000247347794,0.589783274842566,0.836884227437625,1.27928846321082,0.886307240513757,1.68715342504542,0.0704501611659786,1.15501014096071,-0.473470419483759,0.718905823219939,-1.94611665032692,1.73454939448909
"ENSG00000230724",3.16246482199218,2.41364979702233,3.13961533876389,3.40660925628177,3.75423003861433,3.41906120563296,3.13792750287504,2.03974791596164,1.55650254273566,3.21948231809155,3.32203912483107,3.96081468413811,3.01179633736775,3.70869349029011,2.94918293467488,3.38994095209668,3.64214967949186,3.114863417233,2.32663423189052,2.50615611464676,2.63953503311315,2.65569495307065,1.35468710201388,2.4518559481615,1.1203249763275,1.95780995878022,2.88583809356497,4.16086312668525,3.90932756975737,4.2622085713992,2.90757345852949,3.52137301566275,3.60888094890561,2.39522225208381,2.23350242327731,2.63758677947944,1.80089030810895
"ENSG00000255229",0.669211776588304,-0.114124525235856,0.135151911418038,0.20956014551412,1.39887130565197,0.366404784439145,0.114413573313053,-0.789863864598275,-1.80107485244162,0.415656504159615,0.0999986385607307,1.27206849843737,-0.0759642553110009,1.14028510890171,0.421009000035591,0.430926387546398,0.490438835079596,0.087406128632204,-0.383137696864892,-1.0173966632282,0.0642108252701864,-0.120249683446471,-1.39484462204462,-0.266470955682247,-1.50410368874987,-0.598267270315348,0.000689497081569216,1.05584514432339,1.38248255035674,1.1545131545093,-0.0873525316205866,0.257915633379391,0.531693763643309,-0.0569254590051621,-0.358755101201833,-0.702568559774858,-1.86709464621087
"ENSG00000177951",5.23659849372648,5.4067837698789,5.1755714114487,5.32861398735132,5.07583883421805,4.90492085608859,5.166686034698,5.78436537422315,5.35581612089302,4.75470019277528,5.08717382913507,4.90488349435169,5.18188986266728,4.92134764232589,5.26181376734506,5.03660465756536,5.37171493074753,5.13763389964315,5.47961719957989,5.41196639418755,5.00230237732895,5.06167566866187,5.64288395780133,5.30490198998046,5.53107996322232,5.31685834635656,5.52847884150636,5.0038513090018,5.1144713298216,4.95376220555197,5.0279948556391,4.75256122080112,5.08180041276314,5.38072088785758,5.3167269175985,5.3603749398119,5.48120897330636
"ENSG00000188076",2.2796797721977,0.98439587301642,2.08283348283727,-0.491809627632617,-0.432666792846692,-0.5801950825922,1.90161132694369,1.7414108137494,2.46971931527659,-2.08192273097747,-0.263245416363577,0.371451713580909,-1.22020833538867,-0.565750139830953,0.535947505777476,0.528829541549288,0.581905810184217,0.518246425710344,1.00448390726903,0.542127980402972,0.567751237805652,-0.547933840756956,-0.142735598731582,0.529269501407382,-1.1821904413203,-9.62538854840714e-05,0.813353891398137,0.365712545748469,1.8824509609459,0.886307240513757,-0.364933912259787,-1.0978201898339,0.112432953442555,-0.0569254590051621,0.422504600269689,1.16819838680795,3.08668828967947
"ENSG00000177947",1.11534507107165,0.229059115675115,0.912843299588644,-0.707928520262657,-1.31030258033374,-1.11366366393442,0.55438011319523,1.22962959194843,0.764597556278664,-2.27556501946551,0.188948696467902,0.104121758129746,-2.35511713465106,-0.851304643278651,1.38720479203733,-0.544804939227397,0.0524988999590159,-1.16423856025141,-0.0833957070207013,-0.132393794641558,-1.35673462060625,-0.762222740944956,0.479000337829109,-0.559815809158419,-1.91911644260528,-1.13000247347794,0.000689497081569216,-1.0054925961498,0.0668030978540202,-0.0957633698064856,-1.45543759810077,-2.09484659296242,-0.647578629103185,-1.06145257625421,-0.100549493069549,-0.273246791967981,1.95451010320744
"ENSG00000177963",5.59680610057539,5.6596232266323,5.54028709390332,5.62604965648335,5.59622485199708,5.62525631956517,5.67576285457189,5.62284297429306,5.84261747159446,5.13931086520731,5.34478650786082,5.40517513469403,5.47429817700202,5.41209725171164,5.52967017624101,5.56392604830802,5.54651667767734,5.59911785120151,5.54308433520469,5.4811531142943,5.23129523638483,5.48307678411249,5.78322909259405,5.5076749318267,5.70202296302575,5.44377428944371,5.5889594285052,5.43524478838954,5.27842707367675,5.34749707856363,5.33717200676372,5.34838285472015,5.4168665750326,5.60094021130824,5.48042844948154,5.72617948282146,5.73345521734975
"ENSG00000142082",4.1477629116928,3.72314934630234,3.68553295968124,3.59556854686928,3.5834456444319,3.73874674474996,3.44325526868066,3.87134487420395,3.20326253588326,3.61490195680742,3.99373905264855,4.09617479920129,3.59904163596526,4.03977927758838,3.70011369789334,3.21714963493833,3.83110018664469,3.17516293286814,3.64525249287788,3.65820931180778,3.71851477411304,3.44991452730972,3.87226201181177,3.70799984744673,2.94428597358403,3.85872847077015,3.31558206608302,3.99859582210429,3.9877971606683,4.37372450494809,4.15825339446172,4.1800475681564,4.02352332775033,3.78437444581015,3.44192278948318,3.23535474196534,3.27350261499795
"ENSG00000185627",6.09399963044786,6.3030507854296,5.9998305573437,6.19922272008183,5.7915277211755,5.91285523661983,6.32489723209747,6.17172904276773,6.12186963277329,5.43872810489175,5.42594084993864,5.81431149892693,5.5853903795244,5.53798134884535,6.19329028056022,6.02984516070384,5.98179256961093,6.17021266494011,6.16293376481409,5.8288420040167,5.74157282127089,5.89029346376502,5.96586707692293,6.16500110315944,5.72704374725886,5.98206886174987,5.9891779788669,5.77231746238818,5.56561709231109,5.74465603526909,5.64090058258227,5.62032753321819,5.26295810934996,6.06386650656419,6.17813844158255,6.57468751504946,6.31309927278381
"ENSG00000277290",0.19156056222069,0.229059115675115,-0.0477393282391291,-0.829481313971887,-0.28839706226144,0.327316269563838,-0.857831321369004,-1.52299181141547,-2.52279195361551,-0.169923944035331,-0.205410958766153,0.401636660097707,-0.71065840723549,-0.372093150934748,0.535947505777476,0.212607201297829,-0.792621684521651,-1.03716642783035,0.0866167752898095,-0.132393794641558,-0.477966416390129,0.322469936886176,-0.555164302065845,0.0500486893249493,-0.334219930623164,-9.62538854840714e-05,-0.785810856792191,0.263868121651367,0.523397779133924,-0.54791446634989,0.548868375854607,-0.398525796765725,-0.33170384275451,-0.118522539739061,-0.456226227440076,-0.544834776179886,-3.08891772329661
"ENSG00000174885",2.18127903169007,2.91864444056334,2.5535696313989,2.11177380865212,1.84718283985841,1.67101440658421,2.04345133570305,2.30936989528282,2.00520950433255,2.09457765509974,1.32373806713937,1.52609669926297,2.67882061742687,1.97342788946461,2.2233538439603,2.67016959792087,2.04176484676187,1.39157336432055,2.69863667746327,2.62831061942444,1.97769781149178,1.96125241978278,2.31027253980392,1.80020215529796,1.78123190570881,1.91949351249722,1.59390275539974,1.42959193883983,1.8347219411173,1.74805385231491,2.12876023168897,1.39158334925626,2.35541742960475,1.26771210305017,2.10271461873955,1.72778934681841,1.7681011454211
"ENSG00000255026",2.64716428921893,3.75000411854034,3.12887277088482,2.75405523176988,4.3976724546508,4.23222597950432,2.30525869132881,3.29216368350888,1.87798191149583,3.7735409332295,4.79120787022965,4.05403544095925,4.28498761766328,4.06927277190225,2.89637634434266,1.75841967004518,3.41847834204056,1.32215591822876,2.57547824631311,1.79244062496328,3.71851477411304,2.3697616825103,1.88108451762768,3.12670563623958,2.53291591343903,2.87704926506908,3.22766041374393,4.00387062265396,3.81408881171147,4.00942288768179,5.10137122848579,4.73688016242493,4.85654182201027,2.74568158800228,2.82725881965868,1.45641589103946,1.70019873745415
"ENSG00000142102",5.76761404059159,6.60744229528382,6.29714196671467,5.75057155902913,7.50415950567617,7.3204417059814,5.49463414312128,6.29962396095002,4.92549730362124,6.75196886763975,7.96180577238942,7.66153447535767,7.5670161630394,7.49796486584491,5.8093342703939,4.91513104505618,6.30150304912577,4.70501328501266,5.8744808046441,4.92018084131729,6.85125594347242,5.70688464047404,4.95467389081791,6.35041295671588,5.47691419754039,5.75611694527564,6.18447110234915,7.08881946530459,7.19619593721866,7.87217590936953,8.36447637180508,8.01099319887083,7.73860949578843,6.2259789067374,6.10420767695001,5.19407778790357,5.4710580613446
"ENSG00000185201",7.57201611828403,7.69474036361171,7.37546156696501,7.1980684448147,6.55077407705017,6.79046748555238,8.15255448939028,7.74637601603738,8.24722997029194,6.83604149068914,6.91723447234646,6.63563467456837,6.69088691088353,6.39894780689496,7.65919291192789,7.53091150690001,6.92803276219512,7.68440763611566,7.3961566377453,7.09702835835878,7.12333886305306,7.26907730713731,7.54148191469541,7.56204764521257,7.45413325941433,6.84421025954566,7.76062430373022,6.81419803970645,5.8454694387172,6.12374052644282,6.61556095336791,6.83842410731325,6.78321100326601,7.035017205983,7.15289443334937,8.21229185907638,7.43070513590922
"ENSG00000185885",6.03182485791917,6.66766088483339,5.92107430644666,5.95421380159046,5.50675272464106,5.46679403185472,6.46937514672445,6.73369218272404,6.94464541884683,5.54338867028813,5.79080952523294,4.86210599492015,5.93199888457821,5.28498431648688,5.68719045972864,5.28448294551608,5.74012714924996,6.29999925268553,6.52933032647984,6.51664514847804,5.67838908081106,5.94105851319023,6.67231550959081,6.45305219902725,6.7210297574659,5.8843282395734,6.34306500071825,5.69044675774466,5.13432095043213,4.55268948367414,5.58257838430896,5.23127364441141,5.54148013971584,5.99827514386836,5.91374462861727,6.42300142670779,6.56412627110115
"ENSG00000254910",-3.08891772329661,-1.71964180980228,-2.00992630223552,-1.91088430810459,-0.838881284270416,-0.507721460200438,-1.47882826220502,-1.52299181141547,-2.52279195361551,-1.07843791220686,-0.749886193514239,-1.82808094858118,-1.05538307739193,-1.20768604955943,-1.81566039915172,-1.31650554985838,-1.73008251740323,-2.32412061783711,-1.76320082654153,-1.14504355637945,-1.35673462060625,-3.08891772329661,-1.25903832246841,-1.8863508341099,-2.28165824202577,-1.79976329502211,-1.8073798639281,-0.700875008129275,-1.61044233481481,-0.0957633698064856,-1.16160013572773,-1.19073116364035,-1.50676863409299,-1.65095644486036,-2.56939097208493,-1.94611665032692,-0.587237979751948
"ENSG00000251661",2.69073796005031,2.32712581108295,2.45380173628941,1.99130137959367,2.00487679310035,2.39284696592543,1.51994283399899,1.6383911791323,0.71582187807403,2.86144967217869,3.08187870412604,2.71645156899461,3.00714285047857,2.42185234034737,2.06009599336743,0.270361543264152,1.27283328889361,0.433008084890015,0.309109168266354,2.11851053731921,1.48145758200234,1.81407938198825,2.16085246178295,2.36884407087741,1.37030131404924,2.3713879011018,0.463502130880615,2.47576692767481,2.19751257105858,2.51585965712083,3.19392793884052,2.47687874758928,3.23084332737435,2.24435129903727,2.0680772814592,2.42518713372728,0.27941605199723
"ENSG00000142089",6.14057074173067,6.76796545021069,5.98799053596865,6.15584127247505,4.79728351957722,6.27828103921551,6.91752825370614,6.1008423561602,7.22509402897265,6.57652146040185,5.56121261651523,5.67759996327047,5.90910854628438,5.7156838452073,6.62028569052864,5.56248188470684,6.42552249645465,6.28563538934752,5.54855260813868,5.72883678586485,5.93032072492256,6.21577893857226,6.99751794036059,7.02103775613255,6.25848128214064,5.5748757066175,6.09235080820043,5.56044907222894,4.0802384493818,4.87394631508709,6.06083583144823,5.06916650050615,5.90905827638705,6.05604664909996,5.7083825386891,7.17438287416886,6.32723651060923
"ENSG00000255328",-0.99508970285315,-0.857909226368316,-0.257228371686242,-2.58211901699007,-1.13548086129587,-0.191610593823263,-1.68719652177861,-0.450040959320855,-0.0518631898353852,-1.75859969831307,1.15736538617719,-1.35458968847157,-1.31026652427634,-1.68203972751955,-2.53079158485469,-1.15573998533832,-1.96884109780534,-1.45786324628887,-1.49974605627214,-0.596556085613953,-1.57399187853748,-2.23827060165671,-2.11942454238112,-0.266470955682247,-3.08891772329661,-1.63863427650447,-1.13958470902412,-1.63284537082502,-0.895750925553187,-1.56564709244841,-1.56837860879084,-0.928225966695253,-1.7378493178038,-1.47951606518095,-1.07656552283154,-0.154493193178923,-2.35235064651267
"ENSG00000270972",-0.174815375832221,-0.565299018889055,-1.16999850729246,-0.595825966525682,-0.116058519393219,-0.372859223791336,-0.989847329140251,-0.450040959320855,-0.812617929211831,-1.07843791220686,1.34324779684853,-0.224273737634324,-0.537498916718484,0.0219092144574071,-0.832255836899543,-1.01110654245546,-1.3459757531119,-1.16423856025141,-1.08418327363262,-1.61403582028627,-0.372250699542568,-1.31917608294579,-1.39484462204462,-0.794822291630814,-1.08908474881714,-1.0266353334128,-0.684848650485103,-1.39213296581278,-1.74902732843067,-1.86310538416678,-1.45543759810077,-0.241174178559797,-1.05258338252287,-0.64414974261328,-0.795734286642148,-0.273246791967981,-0.974206983190303
"ENSG00000182272",-1.19206708741355,-2.4774592798143,-0.971995405776747,-0.491809627632617,-0.0760088388774146,-0.5801950825922,-1.13517168094914,0.158441162410591,-0.436783259970615,1.1531162658027,0.188948696467902,-0.589520894726841,-0.0369962345733907,0.879928013568338,-0.982405537566048,-1.31650554985838,-1.96884109780534,0.782241364237942,0.440405857911247,-1.28509039694286,0.137634921415693,-0.651103301231899,-0.203795598015364,-2.18768693672706,-0.334219930623164,-9.62538854840714e-05,-0.684848650485103,-0.235489339825407,0.223268951744894,-0.361376552736621,1.59836790449262,0.423799156665757,-0.240111742383312,-1.1878080989994,-0.100549493069549,-3.08891772329661,-1.50461947938288
"ENSG00000185187",6.55827831488172,6.76467705755811,6.61551587853107,6.25074021030182,6.68611310581275,6.77874336465708,6.34473212861492,6.75334167257976,6.55952014210359,5.70226216841898,6.70554506374289,6.226840361416,6.17644712522826,6.25052820184254,6.33891832829004,5.71325873234124,6.42165893881406,6.44583126277426,6.49197670097435,6.23113308344312,6.34788940101295,6.18989184365135,6.21582726944114,6.31019088853867,6.40120938711012,6.42026203644927,6.29829245043945,6.48841926530081,6.36869014966167,6.54385842041483,6.38332392888434,6.63222941354644,6.32776219759068,6.54497281612006,6.18825338224244,6.29058045497638,6.56412627110115
"ENSG00000185101",3.84760384663228,4.01647701493535,4.2587239218077,3.67034350201684,5.29973433353248,5.50779785107241,3.89082379023929,4.76315904433348,3.10251373938962,4.59562659019524,5.79966343800292,5.41907585139378,4.93599809362821,5.37546267673256,3.84648764174939,3.18747620352136,4.20650067255148,3.30076998841652,4.1071728691033,3.42526975485965,4.80232108965025,3.96357183376425,3.7120718448413,4.05635925337715,4.02720513815343,4.4193406603343,4.12781510284873,5.39465898933234,5.780035748263,5.79785711305488,5.88699511735093,5.59793345357227,5.6561807096623,4.5791890920175,4.08584337505195,2.94743145698131,4.07667427370794
"ENSG00000174915",3.34626750183013,2.95372131341624,3.02841076795626,2.8659671406508,3.33132620009055,3.05038398480715,3.13792750287504,3.16202852667117,3.40902796332909,2.61825705640483,3.34157168814356,3.28065858180332,2.73618614091621,3.25644983880494,3.06855013371715,3.06227451970376,2.99630198963446,3.20117446462493,3.01533160660152,3.20082502280596,3.07292910539199,3.04210840208888,2.90924811654579,3.0752687544084,2.69876616226845,3.00454329514917,3.2405534881038,3.06069229361408,3.37100677738576,3.2520804632244,3.00454455221709,3.48052525675475,3.38264103919347,2.99143534246574,3.19944674378399,3.02497581464838,3.13891775845642
